도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자
신가도서관,광주광역시,광산구,공공도서관,"일요일제외한 공휴일, 매월 첫째, 셋째 월요일",7:00,22:00,7:00,22:00,7:00,22:00,254,57822,36,0,5,15,광주광역시 광산구 신가로40번길 24,광주광역시 광산구청,062-960-8514,1993,1888,http://lib.gwangsan.go.kr,35.182797,126.826386,2019-05-31
운남어린이도서관,광주광역시,광산구,공공도서관,일요일제외한공휴일 및매월둘째넷째월요일,7:00,18:00,7:00,18:00,7:00,18:00,54,47790,24,458,5,15,광주광역시 광산구 목련로217번길 10(운남동),광주광역시 광산구청,062-960-8303,1925,814,http://lib.gwangsan.go.kr,35.173025,126.819786,2019-05-31
이야기꽃도서관,광주광역시,광산구,공공도서관,일요일제외한공휴일및매월 둘째넷째월요일,7:00,22:00,7:00,22:00,7:00,22:00,501,36011,42,1173,5,15,광주광역시 광산구 선운중앙로 67번길 6 (선암동 516번지),광주광역시 광산구청,062-960-6812,3306,3276,http://lib.gwangsan.go.kr,35.148414,126.778992,2019-05-31
장덕도서관,광주광역시,광산구,공공도서관,"일요일제외한 공휴일, 매월 첫째, 셋째 월요일",7:00,22:00,7:00,22:00,7:00,22:00,345,52650,47,3866,3,15,광주광역시 광산구 풍영로 179,광주광역시 광산구청,062-960-3989,3304,2844,http://lib.gwangsan.go.kr,35.187519,126.8133497,2019-05-31
광주송정도서관,광주광역시,광산구,공공도서관,"둘째, 넷째 월요일, 설, 추석 당일, 개관기념일(4월10일)",7:00,22:00,7:00,22:00,7:00,22:00,429,191063,73,276,5,15,광주광역시 광산구 송정공원로 8-13,광주광역시교육청,062-940-8900,,,http://lib.gen.go.kr/songjung/,35.145316,126.799604,2019-05-31
첨단도서관,광주광역시,광산구,공공도서관,일요일 제외한 공휴일 및 매월 둘째넷째 월요일,7:00,22:00,7:00,22:00,7:00,22:00,389,54108,30,0,5,15,광주광역시 광산구 임방울대로673-12　,광주광역시 광산구청,062-960-8296,1500,1997,http://lib.gwangsan.go.kr,35.217233,126.830102,2019-05-31
사직도서관,광주광역시,남구,공공도서관,"매월 1번째, 3번째 월요일 공휴일",7:00,22:00,7:00,22:00,7:00,22:00,656,240058,378,2355,5,15,광주광역시 남구 제중로 56,광주광역시립도서관,062-613-7783,3252,5236,http://www.citylib.gwangju.kr/main/main.php,35.139737,126.913963,2019-05-31
금호평생교육관,광주광역시,남구,공공도서관,"첫째, 셋째 월요일, 법정공휴일, 개관기념일, 임시휴관일",7:00,22:00,7:00,22:00,7:00,22:00,705,177178,43,8950,5,15,광주광역시 남구 중앙로 15,광주광역시교육청,062-360-6600,,,http://lib.gen.go.kr/kumho/,35.145717,126.900543,2019-05-31
문화정보도서관,광주광역시,남구,공공도서관,"매월 둘째, 넷째 월요일, 일요일을 제외한 공휴일",9:00,18:00,9:00,17:00,9:00,17:00,350,90452,26,8007,5,15,광주광역시 남구 봉선로 208,광주광역시 남구청,062-607-2521,3723,1252,http://lib.namgu.gwangju.kr/main/,35.122033,126.917555,2019-05-31
푸른길도서관,광주광역시,남구,공공도서관,"매주 월요일, 법정공휴일",9:00,22:00,9:00,17:00,9:00,17:00,150,41601,22,1207,5,15,광주광역시 남구 금당로 140,광주광역시 남구청,062-607-2531,1701,1462,http://lib.namgu.gwangju.kr/main/,35.129307,126.895261,2019-05-31
산수도서관,광주광역시,동구,공공도서관,"매월 1번째, 3번째 월요일 공휴일",7:00,22:00,7:00,22:00,7:00,22:00,565,192872,371,2225,5,15,광주광역시 동구 경양로 355,광주광역시립도서관,062-613-7831,1823,4532,http://www.citylib.gwangju.kr/main/main.php,35.154691,126.928434,2019-05-31
계림꿈나무도서관,광주광역시,동구,공공도서관,"매월 첫째,셋째주 월요일,국가지정공휴일",9:00,18:00,9:00,17:00,9:00,17:00,108,23509,0,751,5,15,광주광역시 동구 경양로247번길 26,광주광역시 동구청,062-608-3920,646,453,http://lib.donggu.kr,35.158532,126.919653,2019-05-31
중앙도서관,광주광역시,동구,공공도서관,"둘째, 넷째 월요일, 설·추석 당일, 개관기념일, 임시휴관일",7:00,22:00,7:00,22:00,7:00,22:00,689,210335,46,7671,5,15,광주광역시 동구 장동로 23-16,광주광역시교육청,062-607-1300,,,http://lib.gen.go.kr/jungang/,35.148503,126.925464,2019-05-31
무등도서관,광주광역시,북구,공공도서관,"매월 2번째, 4번째 월요일 공휴일",7:00,23:00,7:00,23:00,7:00,23:00,1004,362335,450,55834,5,15,광주광역시 북구 면앙로 130,광주광역시립도서관,062-613-7753,12488,9148,http://www.citylib.gwangju.kr/main/main.php,35.176771,126.925339,2019-05-31
중앙도서관 석봉분관,광주광역시,북구,공공도서관,"둘째, 넷째 월요일, 법정공휴일, 개관기념일, 임시휴관일",7:00,22:00,7:00,22:00,7:00,22:00,424,31774,21,0,5,15,광주광역시 북구 설죽로 315-8,광주광역시교육청,062-576-8101,,,http://lib.gen.go.kr/seokbong/,35.189222,126.897722,2019-05-31
운암도서관,광주광역시,북구,공공도서관,"매월 둘째주 · 넷째주 월요일, 법정공휴일",7:00,22:00,7:00,22:00,7:00,22:00,275,83432,67,55,5,14,광주광역시 북구 북문대로 118,광주광역시 북구청,062-410-6957,1409,2619,http://ilgoklib.bukgu.gwangju.kr,35.180182,126.873132,2019-05-31
일곡도서관,광주광역시,북구,공공도서관,"매월 첫째주 · 셋째주 월요일, 법정공휴일",7:00,22:00,7:00,22:00,7:00,22:00,468,153000,71,36461,5,14,광주광역시 북구 일곡로 55,광주광역시 북구청,062-410-6889,1680,5317,http://ilgoklib.bukgu.gwangju.kr,35.207934,126.893185,2019-05-31
학생교육문화회관,광주광역시,서구,공공도서관,"둘째, 넷째 월요일, 법정공휴일, 개관기념일, 임시휴관일",7:00,22:00,7:00,22:00,7:00,22:00,252,186148,66,8258,5,15,광주광역시 서구 상무민주로 61,광주광역시교육청,062-380-8810,,,http://lib.gen.go.kr/gecs/,35.157053,126.858609,2019-05-31
학생독립운동기념회관,광주광역시,서구,공공도서관,"첫째, 셋째 월요일, 법정공휴일, 개관기념일, 임시휴관일",7:00,22:00,7:00,22:00,7:00,22:00,351,215398,70,2204,5,15,광주광역시 서구 학생독립로 30,광주광역시교육청,062-221-5500,,,http://lib.gen.go.kr/student/,35.140608,126.862856,2019-05-31
상록도서관,광주광역시,서구,공공도서관,"매월 두번째, 네번째 월요일, 법정공휴일",7:00,22:00,7:00,22:00,9:00,18:00,238,44825,31,478,5,15,광주광역시 서구 상무대로 1171번길 11,광주광역시 서구청,062-350-4591,1224,1722,http://lib.seogu.gwangju.kr/,35.155229,126.888954,2019-05-31
서구공공도서관,광주광역시,서구,공공도서관,"매월 첫번째, 세번째 월요일, 법정공휴일",7:00,22:00,7:00,22:00,9:00,17:00,440,58731,9,33,5,15,광주광역시 서구 마재로 3,광주광역시 서구청,062-654-4306,18267,1250,http://lib.seogu.gwangju.kr/,35.130861,126.860269,2019-05-31
어린이생태학습도서관,광주광역시,서구,공공도서관,"매월 두번째, 네번째 월요일, 법정공휴일",9:00,18:00,9:00,18:00,9:00,18:00,150,44508,16,879,5,15,광주광역시 서구 풍암공원로 8,광주광역시 서구청,062-350-4584,2268,1323,http://lib.seogu.gwangju.kr/,35.1296898,126.881752,2019-05-31
청소년도서관,광주광역시,남구,공공도서관,"공휴일, 매월 첫째, 셋째 월요일",9:00,22:00,9:00,17:00,0:00,0:00,158,38581,16,522,5,15,광주광역시 남구 제석로 100,광주광역시 남구청,062-607-2541,3715,2099,http://lib.namgu.gwangju.kr/,35.1233695,126.9077442,2020-03-17
